serialNumber,packetType,deviceTime,time,xAxisAcc,yAxisAcc,zAxisAcc,xAxisAngVal,yAxisAngVal,zAxisAngVal,xAxisMagF,yAxisMagF,zAxisMagF,gpsTimeValidity,gpsAltitude,gpsLatitude,gpsLongitude,pressure,temperature
21845,1,761,204218,-0.421685964,0.166713059,1.137571335,1.261000037,-0.787,-60.93000031,74.80599976,-14.43099976,28.8029995,2445,5694,372463168,1266667264,100210.9531,21.80218506
21845,1,771,204318,0.323619455,-0.274586201,1.421964288,2.595000029,-2.566999912,-60.72700119,77.34899902,-9.036000252,31.03700066,2445,5637,372463136,1266667264,100170.8594,21.80487061
21845,1,786,204468,0.019613301,-0.431492597,1.402351022,5.492000103,-2.644999981,-56.47600174,79.3030014,-5.066999912,29.88599968,2445,5579,372463136,1266667264,100045.4844,21.80053711
21845,1,805,204658,-0.098066501,-0.049033251,1.265057802,0.054000001,-0.843999982,-52.64899826,79.31900024,2.871999979,28.8029995,2445,5522,372463104,1266667136,99966.45313,21.80015564
21845,1,829,204898,-0.382459372,-0.107873149,1.029698253,4.995999813,-2.812999964,-49.7519989,78.29699707,17.15600014,27.39699936,2446,5464,372463104,1266667136,99811.59375,21.79756165
21845,1,845,205058,-0.049033251,-0.304006159,1.01989162,6.764999866,0.99000001,-48.85200119,75.15399933,18.74399948,28.78800011,2446,5406,372463104,1266667136,99741.15625,21.80131531
21845,1,871,205318,-0.039226603,-0.254972905,1.000278354,2.469000101,-2.385999918,-46.24399948,69.69300079,28.74699974,26.87400055,2446,5349,372463072,1266667136,99604.3125,21.78457642
21845,1,886,205468,-0.18632634,0.049033251,0.81395191,2.47300005,-0.667999983,-44.2159996,68.68099976,34.46099854,26.33600044,2446,5291,372463072,1266667136,99510.84375,21.79121399
21845,1,907,205678,0.019613301,-0.323619455,0.745305359,3.434999943,3.680999994,-42.82899857,62.05799866,37.95299911,26.66500092,2446,5233,372463040,1266667136,99423.0625,21.80506897
21845,1,932,205928,-0.049033251,-0.245166257,0.627625644,8.859999657,2.98300004,-42.81000137,52.09899902,43.18999863,25.22999954,2447,5176,372463040,1266667136,99336.78125,21.80314636
21845,1,962,206228,0.127486452,0.156906411,0.549172401,-1.190000057,1.88499999,-37.68500137,42.98099899,46.68299866,24.40800095,2447,5089,372463008,1266667008,99190.42188,21.80093384
21845,1,987,206478,0.117679805,-0.019613301,0.421685964,0.291999996,0.103,-37.42399979,37.82400131,49.06399918,23.6079998,2447,5003,372463008,1266667008,99094.26563,21.80178833
21845,1,1005,206658,0.088259846,0.06864655,0.294199497,6.717000008,-0.004,-36.26800156,32.16500092,47.0019989,24.25099945,2447,4945,372462976,1266667008,99049.42188,21.80006409
21845,1,1029,206898,-0.196133003,-0.18632634,0.353039384,10.8760004,7.010000229,-35.02500153,22.87599945,47.47900009,21.2159996,2448,4888,372462976,1266667008,98967.0625,21.78408813
21845,1,1043,207038,0.049033251,-0.107873149,0.313812822,8.82199955,9.409999847,-33.54199982,22.04000092,47.79600143,22.12800026,2448,4830,372462944,1266667008,98925.46875,21.78236389
21845,1,1069,207298,0.117679805,0.088259846,0.117679805,1.11500001,11.68799973,-30.07600021,10.74300003,45.25699997,17.03800011,2448,4772,372462944,1266667008,98853.64063,21.74330139
21845,1,1083,207438,0.049033251,0.019613301,0.18632634,0.405999988,11.00599957,-29.82299995,7.793000221,41.92300034,16.18600082,2448,4715,372462944,1266667008,98825.4375,21.74165344
21845,1,1112,207728,0,0,0.117679805,2.469000101,12.08199978,-29.11700058,3.766000032,38.42699814,14.05599976,2448,4657,372462912,1266666880,98761.32813,21.71740723
21845,1,1156,208168,0.039226603,-0.019613301,0.225552961,6.263000011,19.79400063,-28.03499985,-6.010000229,32.08000183,9.960000038,2449,4571,372462912,1266666880,98687.15625,21.67440796
21845,1,1185,208458,-0.06864655,0.019613301,0.117679805,2.50999999,24.34600067,-25.09700012,-11.47200012,24.78000069,3.217999935,2449,4456,372462880,1266666880,98655.95313,21.67651367
21845,1,1218,208788,0.06864655,-0.029419951,0.176519692,-6.754000187,30.22299957,-22.04100037,-14.77999973,16.68400002,-5.803999901,2449,4369,372462848,1266666880,98630.04688,21.66564941
21845,1,1247,209078,0.029419951,0.078453206,0.362846047,-11.50599957,33.17699814,-21.79800034,-16.79899979,12.39799976,-10.6619997,2450,4283,372462816,1266666752,98616.96875,21.67642212
21845,1,1278,209388,0.049033251,0.049033251,0.37265268,-20.62899971,38.7519989,-22.74600029,-13.48999977,6.046000004,-22.12100029,2450,4196,372462816,1266666752,98618.04688,21.6796875
21845,1,1297,209578,0.019613301,0.039226603,0.362846047,-23.10099983,40.19400024,-23.10499954,-13.47900009,6.046000004,-22.09799957,2450,-163,372464064,1266664576,98619.76563,21.64987183
21845,1,1319,209798,0.107873149,0.107873149,0.441299289,-27.80599976,41.23400116,-23.24399948,-7.835999966,1.75999999,-34.99900055,2451,-331,372464128,1266664576,98626.60938,21.66487122
